File_name,City,Population,Crime_type,Crime_count,Crime_category,Crime_year,City_size,County,State
OIBRS_CrimeData_2017.csv,Alliance,21838,Robbery,15,violent,2017,small,Stark,Ohio
OIBRS_CrimeData_2017.csv,Alliance,21838,Aggravated assault,69,violent,2017,small,Stark,Ohio
OIBRS_CrimeData_2017.csv,Alliance,21838,Burglary,111,property,2017,small,Stark,Ohio
OIBRS_CrimeData_2017.csv,Alliance,21838,Larceny,689,property,2017,small,Stark,Ohio
OIBRS_CrimeData_2017.csv,Alliance,21838,Motor vehicle theft,44,property,2017,small,Stark,Ohio
OIBRS_CrimeData_2018.csv,Alliance,21723,Murder,1,violent,2018,small,Stark,Ohio
OIBRS_CrimeData_2018.csv,Alliance,21723,Rape,12,violent,2018,small,Stark,Ohio
OIBRS_CrimeData_2018.csv,Alliance,21723,Robbery,7,violent,2018,small,Stark,Ohio
OIBRS_CrimeData_2018.csv,Alliance,21723,Aggravated assault,40,violent,2018,small,Stark,Ohio
OIBRS_CrimeData_2018.csv,Alliance,21723,Burglary,86,property,2018,small,Stark,Ohio
OIBRS_CrimeData_2018.csv,Alliance,21723,Larceny,487,property,2018,small,Stark,Ohio
OIBRS_CrimeData_2018.csv,Alliance,21723,Motor vehicle theft,13,property,2018,small,Stark,Ohio
OIBRS_CrimeData_2019.csv,Alliance,21536,Murder,0,violent,2019,small,Stark,Ohio
OIBRS_CrimeData_2019.csv,Alliance,21536,Rape,9,violent,2019,small,Stark,Ohio
OIBRS_CrimeData_2019.csv,Alliance,21536,Robbery,9,violent,2019,small,Stark,Ohio
OIBRS_CrimeData_2019.csv,Alliance,21536,Aggravated assault,41,violent,2019,small,Stark,Ohio
OIBRS_CrimeData_2019.csv,Alliance,21536,Burglary,70,property,2019,small,Stark,Ohio
OIBRS_CrimeData_2019.csv,Alliance,21536,Larceny,524,property,2019,small,Stark,Ohio
OIBRS_CrimeData_2019.csv,Alliance,21536,Motor vehicle theft,25,property,2019,small,Stark,Ohio
OIBRS_CrimeData_2020.csv,Alliance,21356,Murder,1,violent,2020,small,Stark,Ohio
OIBRS_CrimeData_2020.csv,Alliance,21356,Rape,11,violent,2020,small,Stark,Ohio
OIBRS_CrimeData_2020.csv,Alliance,21356,Robbery,10,violent,2020,small,Stark,Ohio
OIBRS_CrimeData_2020.csv,Alliance,21356,Aggravated assault,62,violent,2020,small,Stark,Ohio
OIBRS_CrimeData_2020.csv,Alliance,21356,Burglary,65,property,2020,small,Stark,Ohio
OIBRS_CrimeData_2020.csv,Alliance,21356,Larceny,473,property,2020,small,Stark,Ohio
OIBRS_CrimeData_2020.csv,Alliance,21356,Motor vehicle theft,45,property,2020,small,Stark,Ohio
OIBRS_CrimeData_2021.csv,Alliance,21328,Murder,0,violent,2021,small,Stark,Ohio
OIBRS_CrimeData_2021.csv,Alliance,21328,Rape,8,violent,2021,small,Stark,Ohio
OIBRS_CrimeData_2021.csv,Alliance,21328,Robbery,3,violent,2021,small,Stark,Ohio
OIBRS_CrimeData_2021.csv,Alliance,21328,Aggravated assault,88,violent,2021,small,Stark,Ohio
OIBRS_CrimeData_2021.csv,Alliance,21328,Burglary,70,property,2021,small,Stark,Ohio
OIBRS_CrimeData_2021.csv,Alliance,21328,Larceny,406,property,2021,small,Stark,Ohio
OIBRS_CrimeData_2021.csv,Alliance,21328,Motor vehicle theft,26,property,2021,small,Stark,Ohio
OIBRS_CrimeData_2022.csv,Alliance,21328,Murder,0,violent,2022,small,Stark,Ohio
OIBRS_CrimeData_2022.csv,Alliance,21328,Rape,3,violent,2022,small,Stark,Ohio
OIBRS_CrimeData_2022.csv,Alliance,21328,Robbery,2,violent,2022,small,Stark,Ohio
OIBRS_CrimeData_2022.csv,Alliance,21328,Aggravated assault,69,violent,2022,small,Stark,Ohio
OIBRS_CrimeData_2022.csv,Alliance,21328,Burglary,72,property,2022,small,Stark,Ohio
