Crimes Reported by City  Township  Village Police Departments for 2017,,,,,,,,,,
AgencyName,Population,ViolentCrimeTotal,Murder,Rape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft
Tremont City,366,0,0,0,0,0,3,0,3,0
Trotwood,24308,92,3,22,36,31,936,265,520,151
Troy,25865,45,1,23,6,15,509,62,437,10
Uhrichsville,5372,5,0,3,1,1,48,7,30,11
Union Township (Clermont),48214,48,0,29,4,15,936,131,782,23
Uniontown,3340,3,0,2,0,1,84,17,61,6
Upper Arlington,35214,12,0,3,6,3,540,90,442,8
Upper Sandusky,6529,15,0,4,0,11,171,31,137,3
Urbana,11351,29,1,6,5,17,484,67,403,14
Utica,2199,3,0,0,0,3,29,7,21,1
Van Wert,10713,22,1,7,3,11,336,56,274,6
Vermilion,10381,3,0,1,0,2,98,15,82,1
Wadsworth,23388,24,0,4,1,19,346,29,313,4
Wapakoneta,9809,14,0,6,3,5,187,29,156,2
Warren,39643,273,11,35,118,109,1654,503,1029,122
Warren Township,5255,21,0,1,3,17,178,52,109,17
Washington Court House,14136,46,0,17,16,13,600,84,502,14
Washingtonville,759,1,0,0,0,1,4,1,3,0
Waterville,5518,1,0,0,0,1,27,3,24,0
Waterville Township,1655,1,0,0,0,1,10,3,7,0
Wauseon,7407,14,0,4,1,9,202,15,182,5
Waverly,4357,6,1,0,1,4,60,0,59,1
Wellston,5534,12,0,2,1,9,95,21,68,6
West Chester Township,61386,73,1,25,16,31,1349,172,1121,56
West Farmington,480,0,0,0,0,0,1,1,0,0
West Jefferson,4347,2,0,0,0,2,59,5,52,2
West Lafayette,2287,3,0,2,0,1,6,1,5,0
West Union,3168,6,0,0,0,6,20,2,13,5
Westerville,39418,53,1,16,16,20,982,79,885,18
Whitehall,18835,155,0,12,81,62,1299,194,1027,78
Wickliffe,12679,20,0,0,12,8,152,26,118,8
Willard,6032,11,0,0,4,7,294,60,223,11
Williamsburg,2565,4,0,1,0,3,60,11,47,2
Willoughby,22857,44,0,1,21,22,474,38,418,18
Wilmington,12416,23,0,3,8,12,652,75,566,11
Winchester,1025,2,0,0,0,2,9,2,6,1
Windham,2199,8,0,0,0,8,35,8,24,3
Wintersville,3750,2,0,1,1,0,69,8,59,2
Woodlawn,3292,14,0,0,4,10,140,6,129,5
Wooster,27172,112,4,36,25,47,930,164,730,36
Worthington,14692,13,2,3,3,5,279,27,239,13
Wyoming,8531,5,0,0,3,2,87,16,69,2
Xenia,26331,62,1,19,8,34,833,142,655,36
Yellow Springs,3713,13,0,4,4,5,82,20,57,5
Yorkville,1031,1,0,0,0,1,7,2,5,0
Youngstown,63889,476,23,35,156,262,2417,855,1310,252
Zanesville,25457,125,1,27,24,73,1403,225,1105,73
